Nombre,Ciudad,Latitud,Longitud,Sitio web,Direccion
Universidad Católica De Santiago De Guayaquil,Guayaquil,-2.1827353,-79.899678,http:/ug.edu.ec,"Salvador Allende Entre, 1er Callejon 5 No, Guayaquil 090613"
Universidad Politécnica Salesiana - Ups,Cuenca,-2.8863856,-78.9910024,http:/ups.edu.ec,"Calle Vieja, Cuenca"
Universidad Central Del Ecuador,Quito,-0.2006319,-78.5040898,http:/uce.edu.ec,"Av. Universitaria, Quito 170129"
Universidad Tecnológica Equinoccial,Quito,-0.1843794,-78.4955493,http:/ute.edu.ec,"Bourgeois N34-102, Quito Ec170147"
Escuela Superior Politécnica De Chimborazo,Chimborazo,-1.6579361,-78.6785364,http:/espoch.edu.ec,"Ent 1 Espoch, Riobamba"
Escuela Superior Politécnica Del Litoral,Guayaquil,-2.1481458,-79.9666826,http:/espol.edu.ec,"Km 30., Vía Perimetral 5, Guayaquil"
Universidad San Francisco De Quito,Quito,-0.1971347,-78.4361805,http:/usfq.edu.ec,"Campus Cumbayá, Diego De Robles S/n, Quito 170157"
Universidad Técnica Particular De Loja,Loja,-3.9869426,-79.2005906,http:/utpl.edu.ec,"San Cayetano Alto, Calle París, Loja"
Pontificia Universidad Católica Del Ecuador,Quito,-0.2093806,-78.4937741,http:/puce.edu.ec,"Avenida 12 De Octubre 1076, Vicente Ramón Roca, Quito"
Universidad De Cuenca,Cuenca,-2.9008206,-79.0124477,http:/ucuenca.edu.ec,"Agustín Cueva, Avenue Doce Abril, Cuenca"
"Universidad De Las Fuerzas Armadas - Espe, Sangolquí",Sangolquí,-0.3145357,-78.4458858,http:/espe.edu.ec,Sangolquí
Universidad Técnica De Ambato,Ambato,-1.2690951,-78.6257539,http:/uta.edu.ec,"Av De Los Chasquis, Ambato"
Escuela Politécnica Nacional,Quito,-0.2101867,-78.4908853,http:/epn.edu.ec,"Ladron De Guevera E11-253, Quito 170517"
Universidad Nacional De Loja,Loja,-4.0328326,-79.2040122,http:/unl.edu.ec,"Avenida Pio Jaramillo Alvarado, Loja Ec110103"
Universidad Internacional Del Ecuador,Quito,-0.2448948,-78.4725551,http:/uide.edu.ec,"Av. Jorge Fernández S/n Y Av. Simón Bolívar, Quito"
Universidad Del Azuay,Cuenca,-2.9189772,-79.0041828,http:/uazuay.edu.ec,"Ave 24 De Mayo 7-77, Cuenca 01.01.981"
Universidad Católica De Cuenca,Cuenca,-2.9010364,-79.0014296,http:/ucacue.edu.ec,"Juan Jaramillo, Cuenca"
Universidad Nacional De Chimborazo,Chimborazo,-1.6527022,-78.6444094,http:/unach.edu.ec,"Km. 1 1/2 Vía Guano, Avenida Antonio Jose De Sucre, Riobamba"
Universidad Técnica Estatal De Quevedo,Quevedo,-1.0126968,-79.4717037,http:/uteq.edu.ec,Quevedo
Uees,Guayaquil,-2.1325098,-79.8676335,http:/uees.me,"Av. Samborondón, Samborondón 092301"
Universidad Politécnica Estatal Del Carchi,Carchi,0.8048233,-77.7361968,http:/upec.edu.ec,"E35, Tulcán"
Universidad Internacional Sek Ecuador,Quito,-0.093204,-78.4871918,http:/uisek.edu.ec,Quito Ec170134
Universidad Agraria Del Ecuador,Milagro,-2.144523,-79.57641,http:/uagraria.edu.ec,"Via A Naranjito, Milagro"
Yachay,Imbabura,0.4044186,-78.1774716,http:/yachaytech.edu.ec,Cantón San Miguel De Urcuquí
Universidad Casa Grande,Guayaquil,-2.167428,-79.9201571,http:/casagrande.edu.ec,"Ilanes, Guayaquil 090613"
Universidad Técnica De Manabí,Manabí,-1.0441708,-80.4581058,http:/utm.edu.ec,"Avenida Jose Maria Urbina, Portoviejo"
Universidad San Gregorio De Portoviejo,Manabí,-1.0634949,-80.4730856,http:/sangregorio.edu.ec,"30, Portoviejo"
Universidad Del Pacífico - Ecuador,Guayaquil,-2.1829019,-79.9496472,http:/upacifico.edu.ec,"Km 7 2, Via A La Costa Mz520 Sl.1, Guayaquil"
Universidad Técnica De Cotopaxi,Cotopaxi,-0.917928,-78.6350808,http:/utc.edu.ec,"Av Simón Rodríguez, Latacunga"
